Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,1.929333,1.966667,1.843333,1.872,1.872,13921500
2012-01-04,1.880667,1.911333,1.833333,1.847333,1.847333,9451500
2012-01-05,1.850667,1.862,1.79,1.808,1.808,15082500
2012-01-06,1.813333,1.852667,1.760667,1.794,1.794,14794500
2012-01-09,1.8,1.832667,1.741333,1.816667,1.816667,13455000
2012-01-10,1.829333,1.850667,1.816667,1.841333,1.841333,10077000
2012-01-11,1.841333,1.892,1.82,1.882,1.882,10084500
2012-01-12,1.898667,1.908,1.854,1.883333,1.883333,10939500
2012-01-13,1.893333,1.9,1.509333,1.519333,1.519333,82506000
2012-01-17,1.774667,1.822667,1.760667,1.773333,1.773333,69774000
2012-01-18,1.779333,1.792,1.75,1.787333,1.787333,18903000
2012-01-19,1.812667,1.849333,1.774,1.784,1.784,18694500
2012-01-20,1.793333,1.8,1.76,1.773333,1.773333,9934500
2012-01-23,1.787333,1.814,1.773333,1.784667,1.784667,8919000
2012-01-24,1.775333,1.845333,1.762667,1.828,1.828,12870000
2012-01-25,1.818,1.867333,1.803333,1.864667,1.864667,9168000
2012-01-26,1.871333,1.972,1.866667,1.929333,1.929333,19066500
2012-01-27,1.9,1.981333,1.9,1.955333,1.955333,11226000
2012-01-30,1.966,1.974,1.902,1.971333,1.971333,10935000
2012-01-31,1.993333,2.0,1.924667,1.938,1.938,14346000
2012-02-01,1.938,1.98,1.933333,1.972,1.972,7848000
2012-02-02,1.981333,2.058667,1.974,2.016667,2.016667,12085500
2012-02-03,2.027333,2.088667,2.016667,2.076667,2.076667,11467500
2012-02-06,2.073333,2.126667,2.07,2.12,2.12,9781500
2012-02-07,2.12,2.12,2.054667,2.106667,2.106667,15324000
2012-02-08,2.106667,2.134,2.086,2.128667,2.128667,9355500
2012-02-09,2.133333,2.193333,2.095333,2.172,2.172,19156500
2012-02-10,2.150667,2.151333,1.989333,2.073333,2.073333,28113000
2012-02-13,2.103333,2.137333,2.06,2.099333,2.099333,17368500
2012-02-14,2.116,2.252667,2.093333,2.211333,2.211333,27162000
2012-02-15,2.206667,2.294,2.151333,2.24,2.24,41427000
2012-02-16,2.233333,2.300667,2.169333,2.278667,2.278667,33295500
2012-02-17,2.266,2.331333,2.233333,2.331333,2.331333,20650500
2012-02-21,2.324667,2.324667,2.254,2.3,2.3,17037000
2012-02-22,2.3,2.314667,2.166667,2.281333,2.281333,24819000
2012-02-23,2.266,2.331333,2.237333,2.302,2.302,12306000
2012-02-24,2.282,2.301333,2.218,2.25,2.25,14398500
2012-02-27,2.227333,2.266667,2.2,2.241333,2.241333,9090000
2012-02-28,2.242667,2.296,2.211333,2.254,2.254,9183000
2012-02-29,2.254,2.274667,2.209333,2.227333,2.227333,8035500
2012-03-01,2.234,2.3,2.220667,2.294,2.294,10552500
2012-03-02,2.293333,2.3,2.247333,2.269333,2.269333,8250000
2012-03-05,2.29,2.293333,2.230667,2.251333,2.251333,7005000
2012-03-06,2.216667,2.218667,2.174667,2.207333,2.207333,8607000
2012-03-07,2.208,2.220667,2.194,2.208,2.208,5473500
2012-03-08,2.207333,2.232667,2.202667,2.204667,2.204667,9499500
2012-03-09,2.213333,2.354,2.213333,2.316,2.316,23301000
2012-03-12,2.312667,2.419333,2.306667,2.400667,2.400667,29449500
2012-03-13,2.434,2.439333,2.366667,2.406,2.406,15024000
2012-03-14,2.4,2.4,2.32,2.352667,2.352667,12772500
2012-03-15,2.352,2.365333,2.318667,2.333333,2.333333,8574000
2012-03-16,2.326667,2.392667,2.322,2.354667,2.354667,10939500
2012-03-19,2.350667,2.354667,2.302667,2.332,2.332,15234000
2012-03-20,2.332,2.346667,2.304667,2.330667,2.330667,8505000
2012-03-21,2.329333,2.353333,2.306667,2.343333,2.343333,9108000
2012-03-22,2.331333,2.343333,2.286667,2.293333,2.293333,7836000
2012-03-23,2.284,2.308667,2.21,2.272,2.272,17559000
2012-03-26,2.372667,2.539333,2.336,2.493333,2.493333,47107500
2012-03-27,2.477333,2.663333,2.468667,2.529333,2.529333,38088000
2012-03-28,2.518667,2.562667,2.474,2.523333,2.523333,14325000
2012-03-29,2.546,2.546,2.468667,2.488667,2.488667,11946000
2012-03-30,2.501333,2.529333,2.445333,2.482667,2.482667,13296000
2012-04-02,2.488667,2.531333,2.435333,2.438667,2.438667,15429000
2012-04-03,2.446667,2.564667,2.444667,2.534,2.534,16471500
2012-04-04,2.351333,2.366,2.312667,2.333333,2.333333,67227000
2012-04-05,2.34,2.362667,2.294,2.298667,2.298667,22641000
2012-04-09,2.273333,2.286,2.206667,2.21,2.21,24835500
2012-04-10,2.21,2.256667,2.14,2.164,2.164,27715500
2012-04-11,2.216,2.219333,2.134,2.206,2.206,16582500
2012-04-12,2.251333,2.298667,2.194667,2.229333,2.229333,15508500
2012-04-13,2.262667,2.269333,2.19,2.239333,2.239333,9744000
2012-04-16,2.227333,2.246667,2.139333,2.15,2.15,16494000
2012-04-17,2.162,2.204667,2.136,2.149333,2.149333,16732500
2012-04-18,2.139333,2.183333,2.102,2.177333,2.177333,12346500
2012-04-19,2.183333,2.228667,2.166667,2.210667,2.210667,11623500
2012-04-20,2.209333,2.248667,2.196,2.210667,2.210667,12327000
2012-04-23,2.190667,2.198,2.114,2.129333,2.129333,13362000
2012-04-24,2.121333,2.146667,2.066667,2.121333,2.121333,10117500
2012-04-25,2.138,2.199333,2.138,2.194,2.194,10683000
2012-04-26,2.197333,2.234667,2.194,2.232667,2.232667,6379500
2012-04-27,2.24,2.242,2.194,2.222667,2.222667,8865000
2012-04-30,2.218,2.224,2.172,2.208667,2.208667,6208500
2012-05-01,2.208667,2.280667,2.208667,2.252,2.252,9885000
2012-05-02,2.233333,2.292667,2.226,2.262667,2.262667,7459500
2012-05-03,2.260667,2.266667,2.142,2.164,2.164,12619500
2012-05-04,2.154667,2.164,2.093333,2.122,2.122,18712500
2012-05-07,2.130667,2.172,2.107333,2.164667,2.164667,17370000
2012-05-08,2.166667,2.182,1.958,2.012667,2.012667,46458000
2012-05-09,2.02,2.051333,1.984,2.004,2.004,29218500
2012-05-10,2.198,2.312,2.16,2.197333,2.197333,83344500
2012-05-11,2.166,2.229333,2.144,2.15,2.15,18319500
2012-05-14,2.128,2.142,2.003333,2.004,2.004,20713500
2012-05-15,2.017333,2.064,1.948,1.962,1.962,23785500
2012-05-16,1.972,2.012,1.925333,1.945333,1.945333,18856500
2012-05-17,1.953333,1.986,1.882667,1.904667,1.904667,17235000
2012-05-18,1.891333,1.897333,1.788667,1.837333,1.837333,24247500
2012-05-21,1.838667,1.950667,1.808,1.918,1.918,22128000
2012-05-22,2.006667,2.089333,2.0,2.053333,2.053333,35493000
2012-05-23,2.037333,2.07,1.966667,2.068,2.068,18306000
2012-05-24,2.083333,2.083333,1.979333,2.018667,2.018667,16134000
2012-05-25,2.010667,2.027333,1.946667,1.987333,1.987333,11355000
2012-05-29,2.000667,2.128667,2.000667,2.112667,2.112667,24750000
2012-05-30,2.072,2.094667,2.016,2.027333,2.027333,19608000
2012-05-31,2.004667,2.019333,1.916667,1.966667,1.966667,16780500
2012-06-01,1.902,1.944,1.850667,1.876667,1.876667,13287000
2012-06-04,1.868667,1.894,1.807333,1.858667,1.858667,15463500
2012-06-05,1.856,1.892667,1.837333,1.860667,1.860667,9463500
2012-06-06,1.88,1.963333,1.876,1.948,1.948,13648500
2012-06-07,1.987333,1.991333,1.923333,1.928667,1.928667,7381500
2012-06-08,1.924,2.012667,1.876667,2.005333,2.005333,13216500
2012-06-11,2.020667,2.066667,1.930667,1.941333,1.941333,9540000
2012-06-12,1.948667,1.989333,1.920667,1.977333,1.977333,8535000
2012-06-13,1.97,2.042667,1.964667,1.984667,1.984667,12661500
2012-06-14,2.012,2.043333,1.908,1.959333,1.959333,13083000
2012-06-15,1.959333,1.996667,1.920667,1.994,1.994,9702000
2012-06-18,1.996,2.155333,1.966667,2.122667,2.122667,18852000
2012-06-19,2.134667,2.177333,2.1,2.139333,2.139333,13666500
2012-06-20,2.233333,2.3,2.214,2.252,2.252,51336000
2012-06-21,2.284,2.285333,2.122667,2.146,2.146,28378500
2012-06-22,2.173333,2.265333,2.164,2.252667,2.252667,45699000
2012-06-25,2.262667,2.274667,2.183333,2.207333,2.207333,22477500
2012-06-26,2.136667,2.156667,2.092667,2.107333,2.107333,39208500
2012-06-27,2.126667,2.163333,2.104667,2.130667,2.130667,15708000
2012-06-28,2.126667,2.140667,2.041333,2.094,2.094,13711500
2012-06-29,2.186667,2.186667,2.066667,2.086,2.086,16887000
2012-07-02,2.09,2.12,2.012667,2.026667,2.026667,19734000
2012-07-03,2.04,2.066667,2.026667,2.044,2.044,14205000
2012-07-05,2.054,2.111333,2.053333,2.082,2.082,18807000
2012-07-06,2.066,2.115333,2.053333,2.066,2.066,11767500
2012-07-09,2.062667,2.122,2.044667,2.099333,2.099333,13657500
2012-07-10,2.102667,2.165333,2.059333,2.084667,2.084667,11376000
2012-07-11,2.104667,2.112,2.067333,2.100667,2.100667,9579000
2012-07-12,2.086,2.200667,2.053333,2.18,2.18,16885500
2012-07-13,2.198,2.293333,2.188667,2.283333,2.283333,19572000
2012-07-16,2.288,2.4,2.26,2.397333,2.397333,26160000
2012-07-17,2.333333,2.347333,2.158667,2.223333,2.223333,38539500
2012-07-18,2.094667,2.244667,2.070667,2.143333,2.143333,43228500
2012-07-19,2.181333,2.21,2.136,2.151333,2.151333,21538500
